"data__propertyLookup__address__slug","data__propertyLookup__address__fullAddress","data__propertyLookup__address__hcAddressId","data__propertyLookup__address__streetAddress","data__propertyLookup__address__unit","data__propertyLookup__address__city","data__propertyLookup__address__state","data__propertyLookup__address__zipcode","data__propertyLookup__address__zipcodePlus4","data__propertyLookup__avm__priceUpper","data__propertyLookup__avm__priceLower","data__propertyLookup__avm__fsd","data__propertyLookup__avm__quality","data__propertyLookup__avm__priceMean","data__propertyLookup__livingSpace__bedrooms__count","data__propertyLookup__livingSpace__bathrooms__summaryCount","data__propertyLookup__rentalAvm__priceMean","data__propertyLookup__rentalAvm__priceUpper","data__propertyLookup__rentalAvm__priceLower","data__propertyLookup__rentalAvm__fsd","data__propertyLookup__rentalAvm__quality","data__propertyLookup__rentalYield","data__propertyLookup__latestAssessment__taxSummary__amount","data__propertyLookup__latestAssessment__taxSummary__year"
"60674-Somerton-Hwy-Barnesville-OH-43713","60674 Somerton Hwy Barnesville OH 43713",85066148,"60674 Somerton Hwy","","Barnesville","OH","43713","9436",,,,,,,,,,,,,,,
"60674-Westview-Dr-Cambridge-OH-43725","60674 Westview Dr Cambridge OH 43725",30307550,"60674 Westview Dr","","Cambridge","OH","43725","8633",,,,,,,,,,,,,,,
"60701-Salem-Rd-Salesville-OH-43778","60701 Salem Rd Salesville OH 43778",6627251,"60701 Salem Rd","","Salesville","OH","43778","9569",234358,117188,0.3332992,"LOW",175773,,2.5,1462,1709,1217,0.1682627,"LOW",0.0998,1966.68,2022
"60701-252nd-Ave-Mantorville-MN-55955","60701 252nd Ave Mantorville MN 55955",12153530,"60701 252nd Ave","","Mantorville","MN","55955","7029",472496,394946,0.0894008,"HIGH",433721,4,2,2499,2803,2195,0.1216487,"LOW",0.0691,3928,2022
"60701-Millie-Ln-Eagle-Lake-MN-56024","60701 Millie Ln Eagle Lake MN 56024",9086172,"60701 Millie Ln","","Eagle Lake","MN","56024","4470",599518,463834,0.1276003,"LOW",531676,3,2.5,,,,,,,4888,2023
"60664-Shaw-Rd-Cambridge-OH-43725","60664 Shaw Rd Cambridge OH 43725",37519547,"60664 Shaw Rd","","Cambridge","OH","43725","9427",233637,149281,0.2202978,"LOW",191459,,1,1426,1612,1242,0.1297335,"LOW",0.0894,1403.64,2022
"60664-Csah-3-Litchfield-MN-55355","60664 Csah 3 Litchfield MN 55355",127732638,"60664 Csah 3","","Litchfield","MN","55355","2266",243548,175244,0.1630977,"LOW",209396,,,,,,,,,1742,2023
"60664-223rd-St-Eagle-Lake-MN-56024","60664 223rd St Eagle Lake MN 56024",41584568,"60664 223rd St","","Eagle Lake","MN","56024","4487",562989,416123,0.1499992,"LOW",489556,3,4,,,,,,,4470,2023
"60664-County-Highway-50-Wadena-MN-56482","60664 County Highway 50 Wadena MN 56482",74316263,"60664 County Highway 50","","Wadena","MN","56482","4413",441315,346747,0.1200007,"LOW",394031,,,,,,,,,1712,2023
"60668-Goodyear-Rd-Lore-City-OH-43755","60668 Goodyear Rd Lore City OH 43755",56254931,"60668 Goodyear Rd","","Lore City","OH","43755","9770",324579,250813,0.1282013,"LOW",287696,,3,1825,2077,1573,0.1380822,"LOW",0.0761,2784.68,2022
"60670-Main-St-Jacobsburg-OH-43933","60670 Main St Jacobsburg OH 43933",136496948,"60670 Main St","","Jacobsburg","OH","43933","9603",116076,49262,0.4041055,"LOW",82669,2,1,1053,1208,898,0.1471985,"LOW",0.1529,712.28,2022
"60675-Vocational-Rd-Byesville-OH-43723","60675 Vocational Rd Byesville OH 43723",64734546,"60675 Vocational Rd","","Byesville","OH","43723","9780",335857,221675,0.204799,"LOW",278766,,2.5,1741,1988,1495,0.1415853,"LOW",0.0749,3083,2022
"60675-Osprey-Ave-Swatara-MN-55785","60675 Osprey Ave Swatara MN 55785",127943196,"60675 Osprey Ave","","Swatara","MN","55785","5260",157938,43668,0.5667986,"LOW",100803,4,,,,,,,,578,2022
"60677-255th-St-Litchfield-MN-55355","60677 255th St Litchfield MN 55355",127867236,"60677 255th St","","Litchfield","MN","55355","4547",406909,297147,0.1558995,"LOW",352028,,,,,,,,,3720,2023
"60677-120th-Ave-Claremont-MN-55924","60677 120th Ave Claremont MN 55924",127904915,"60677 120th Ave","","Claremont","MN","55924","4585",692179,481503,0.1795001,"LOW",586841,4,3,2758,3150,2368,0.1417694,"LOW",0.0564,9584,2022
"60677-226th-Ave-Mantorville-MN-55955","60677 226th Ave Mantorville MN 55955",289974320,"60677 226th Ave","","Mantorville","MN","55955","4005",641063,550615,0.0758997,"HIGH",595839,,2,2610,2952,2269,0.1308429,"LOW",0.0526,2304,2022
"60677-227th-Ave-Mantorville-MN-55955","60677 227th Ave Mantorville MN 55955",57467241,"60677 227th Ave","","Mantorville","MN","55955","7066",609960,466282,0.1334997,"LOW",538121,2,2,2536,2908,2164,0.1466877,"LOW",0.0566,5030,2022
"60677-200th-St-Wells-MN-56097","60677 200th St Wells MN 56097",22616676,"60677 200th St","","Wells","MN","56097","6360",317733,185607,0.2624985,"LOW",251670,4,2,,,,,,,1846,2022
"60678-226th-Ave-Mantorville-MN-55955","60678 226th Ave Mantorville MN 55955",289974318,"60678 226th Ave","","Mantorville","MN","55955","4005",584834,483942,0.0943996,"HIGH",534388,,2.5,2388,2691,2085,0.1268844,"LOW",0.0536,4746,2022
"60680-Greenlawn-Rd-Quaker-City-OH-43773","60680 Greenlawn Rd Quaker City OH 43773",77129159,"60680 Greenlawn Rd","","Quaker City","OH","43773","9688",120458,28384,0.6186023,"LOW",74421,,,1090,1482,700,0.3587156,"LOW",0.1758,280.5,2022
"60680-Cherry-Ln-Shadyside-OH-43947","60680 Cherry Ln Shadyside OH 43947",22037706,"60680 Cherry Ln","","Shadyside","OH","43947","9778",303687,244435,0.1081,"LOW",274061,3,3.5,1992,2296,1690,0.1521084,"LOW",0.0872,3671.48,2022
"60680-216th-St-Eagle-Lake-MN-56024","60680 216th St Eagle Lake MN 56024",10525089,"60680 216th St","","Eagle Lake","MN","56024","4408",576923,438607,0.1362008,"LOW",507765,3,2,,,,,,,4162,2023
"60680-230th-St-Madison-Lake-MN-56063","60680 230th St Madison Lake MN 56063",127809891,"60680 230th St","","Madison Lake","MN","56063","4278",509745,401165,0.1191995,"LOW",455455,2,3,,,,,,,4360,2023
"60681-Ray-Ramsey-Rd-Jacobsburg-OH-43933","60681 Ray Ramsey Rd Jacobsburg OH 43933",73481040,"60681 Ray Ramsey Rd","","Jacobsburg","OH","43933","8723",110343,42731,0.4416949,"LOW",76537,,,922,1069,775,0.159436,"LOW",0.1446,306.1,2022
"60684-Township-Road-104-Newcomerstown-OH-43832","60684 Township Road 104 Newcomerstown OH 43832",69892511,"60684 Township Road 104","","Newcomerstown","OH","43832","9620",187970,119246,0.2236993,"LOW",153608,,,,,,,,,,
"60685-Gibbon-Rd-Shadyside-OH-43947","60685 Gibbon Rd Shadyside OH 43947",4072998,"60685 Gibbon Rd","","Shadyside","OH","43947","9762",134612,62276,0.3673967,"LOW",98444,2,1,1139,1341,938,0.1769096,"LOW",0.1388,1821.38,2022
"60685-430th-St-Sebeka-MN-56477","60685 430th St Sebeka MN 56477",43135030,"60685 430th St","","Sebeka","MN","56477","2606",248590,157504,0.2242978,"LOW",203047,,,,,,,,,1360,2023
"60687-Southgate-Rd-Byesville-OH-43723","60687 Southgate Rd Byesville OH 43723",56397441,"60687 Southgate Rd","","Byesville","OH","43723","9643",,,,,,,,,,,,,,,
"60687-205th-Ave-Dodge-Center-MN-55927","60687 205th Ave Dodge Center MN 55927",10590679,"60687 205th Ave","","Dodge Center","MN","55927","8004",510629,393939,0.1290008,"LOW",452284,4,2,2094,2398,1792,0.1446991,"LOW",0.0556,2162,2022
"60690-Sandy-Ridge-Rd-Barnesville-OH-43713","60690 Sandy Ridge Rd Barnesville OH 43713",85462017,"60690 Sandy Ridge Rd","","Barnesville","OH","43713","8900",268545,182525,0.1907021,"LOW",225535,2,2,,,,,,,1488.7,2022
"60690-S-26-Rd-Bethesda-OH-43719","60690 S 26 Rd Bethesda OH 43719",30955113,"60690 S 26 Rd","","Bethesda","OH","43719","9704",163163,66095,0.4234007,"LOW",114629,3,1,1413,1608,1220,0.1372965,"LOW",0.1479,704.02,2022
"60690-Cherry-Ln-Shadyside-OH-43947","60690 Cherry Ln Shadyside OH 43947",3193222,"60690 Cherry Ln","","Shadyside","OH","43947","9778",82557,25849,0.5231076,"LOW",54203,2,2,1025,1231,821,0.2,"LOW",0.2269,978.1,2022
"60690-800th-St-Alpha-MN-56111","60690 800th St Alpha MN 56111",127382890,"60690 800th St","","Alpha","MN","56111","3206",256427,194315,0.1377995,"LOW",225371,3,2,,,,,,,434,2021
"60691-Greenlawn-Rd-Quaker-City-OH-43773","60691 Greenlawn Rd Quaker City OH 43773",77128037,"60691 Greenlawn Rd","","Quaker City","OH","43773","9688",247290,116586,0.3591993,"LOW",181938,,2,1778,2342,1215,0.3169291,"LOW",0.1173,3540.9,2022
"60691-Mount-Zion-Rd-Mc-Arthur-OH-45651","60691 Mount Zion Rd Mc Arthur OH 45651",181227307,"60691 Mount Zion Rd","","Mc Arthur","OH","45651","8505",142342,69036,0.3468005,"LOW",105689,,1,,,,,,,365.61,2021
"60693-State-Highway-4-Fairfax-MN-55332","60693 State Highway 4 Fairfax MN 55332",127896712,"60693 State Highway 4","","Fairfax","MN","55332","2006",301144,205150,0.1896013,"LOW",253147,,,,,,,,,2112,2022
"60693-235th-St-Madison-Lake-MN-56063","60693 235th St Madison Lake MN 56063",210801390,"60693 235th St","","Madison Lake","MN","56063","4258",,,,,,,,,,,,,,,
"60693-140th-St-Mapleton-MN-56065","60693 140th St Mapleton MN 56065",20432455,"60693 140th St","","Mapleton","MN","56065","5613",265002,151996,0.2709989,"LOW",208499,2,1,,,,,,,2338,2023
"60694-County-Road-16-Fairfax-MN-55332","60694 County Road 16 Fairfax MN 55332",128799896,"60694 County Road 16","","Fairfax","MN","55332","2098",228225,144235,0.2255007,"LOW",186230,,,,,,,,,1192,2022
"60696-Frankfort-Rd-Salesville-OH-43778","60696 Frankfort Rd Salesville OH 43778",76936597,"60696 Frankfort Rd","","Salesville","OH","43778","9737",75893,11551,0.7358081,"LOW",43722,,,1039,1356,724,0.3041386,"LOW",0.2852,479.98,2022
"60696-380th-St-Eden-Valley-MN-55329","60696 380th St Eden Valley MN 55329",270456924,"60696 380th St","","Eden Valley","MN","55329","1525",,,,,,3,2,,,,,,,1010,2023
"60696-N-State-Highway-123-Askov-MN-55704","60696 N State Highway 123 Askov MN 55704",128525260,"60696 N State Highway 123","","Askov","MN","55704","4243",148111,75689,0.3236014,"LOW",111900,2,1,,,,,,,464,2022
"60697-235th-St-Madison-Lake-MN-56063","60697 235th St Madison Lake MN 56063",13030166,"60697 235th St","","Madison Lake","MN","56063","4258",412966,336926,0.1014013,"LOW",374946,4,2.5,,,,,,,3256,2023
"60697-State-Highway-38-Bigfork-MN-56628","60697 State Highway 38 Bigfork MN 56628",88203801,"60697 State Highway 38","","Bigfork","MN","56628","4403",205810,93702,0.3743022,"LOW",149756,4,,,,,,,,2796,2023
"60699-140th-St-Alden-MN-56009","60699 140th St Alden MN 56009",179600638,"60699 140th St","","Alden","MN","56009","4300",,,,,,,,,,,,,,,
"60689-180th-St-Litchfield-MN-55355","60689 180th St Litchfield MN 55355",127833097,"60689 180th St","","Litchfield","MN","55355","7100",281528,193304,0.1858005,"LOW",237416,,,,,,,,,804,2023
"60621-Division-Rd-Lore-City-OH-43755","60621 Division Rd Lore City OH 43755",832586,"60621 Division Rd","","Lore City","OH","43755","9763",308812,213138,0.1833011,"LOW",260975,,1.5,1386,1604,1170,0.1565657,"LOW",0.0637,2674.12,2022
"60621-Morgan-Rd-New-Concord-OH-43762","60621 Morgan Rd New Concord OH 43762",17861761,"60621 Morgan Rd","","New Concord","OH","43762","9528",774969,602509,0.1251998,"LOW",688739,4,4,3366,4168,2564,0.238265,"LOW",0.0586,7814.4,2022
"60621-Webb-Heights-Rd-Shadyside-OH-43947","60621 Webb Heights Rd Shadyside OH 43947",73751844,"60621 Webb Heights Rd","","Shadyside","OH","43947","9796",,,,,,,,,,,,,,,
"60621-Bolar-Rd-Mc-Arthur-OH-45651","60621 Bolar Rd Mc Arthur OH 45651",257260813,"60621 Bolar Rd","","Mc Arthur","OH","45651","8640",72973,3691,0.9037097,"LOW",38332,,,,,,,,,85.85,2021
"60621-470th-St-Sebeka-MN-56477","60621 470th St Sebeka MN 56477",28580094,"60621 470th St","","Sebeka","MN","56477","2500",276493,203113,0.1530006,"LOW",239803,,,,,,,,,1076,2023
"10-W-64th-St-Chicago-IL-60621","10 W 64th St Chicago IL 60621",192372784,"10 W 64th St","","Chicago","IL","60621","3813",,,,,,,,,,,,,,,
"100-W-72nd-St-Chicago-IL-60621","100 W 72nd St Chicago IL 60621",43443336,"100 W 72nd St","","Chicago","IL","60621","3510",246697,96223,0.4388021,"LOW",171460,,,1686,2237,1136,0.3265125,"LOW",0.118,2211.82,2021
"100-W-Marquette-Rd-Chicago-IL-60621","100 W Marquette Rd Chicago IL 60621",44337215,"100 W Marquette Rd","","Chicago","IL","60621","3711",,,,,,,,,,,,,,,
"1000-W-63rd-St-Chicago-IL-60621","1000 W 63rd St Chicago IL 60621",5431983,"1000 W 63rd St","","Chicago","IL","60621","1314",,,,,,,,,,,,,,,
"1000-W-69th-St-Chicago-IL-60621","1000 W 69th St Chicago IL 60621",220560810,"1000 W 69th St","","Chicago","IL","60621","1126",166940,65826,0.4344019,"LOW",116383,,,1891,2509,1274,0.3265468,"LOW",0.195,34.09,2021
"1000-W-70th-St-Chicago-IL-60621","1000 W 70th St Chicago IL 60621",177060022,"1000 W 70th St","","Chicago","IL","60621","1104",,,,,,,,,,,,,,,
"1000-W-Marquette-Rd-Chicago-IL-60621","1000 W Marquette Rd Chicago IL 60621",203194,"1000 W Marquette Rd","","Chicago","IL","60621","1216",,,,,,,,,,,,,,,
"1001-W-59th-St-Chicago-IL-60621","1001 W 59th St Chicago IL 60621",47527123,"1001 W 59th St","","Chicago","IL","60621","1421",529924,316330,0.2523994,"LOW",423127,,,,,,,,,2815.08,2021
"1001-W-61st-St-Chicago-IL-60621","1001 W 61st St Chicago IL 60621",47605563,"1001 W 61st St","","Chicago","IL","60621","1405",,,,,,,,,,,,,,,
"1001-W-63rd-St-Chicago-IL-60621","1001 W 63rd St Chicago IL 60621",55650033,"1001 W 63rd St","","Chicago","IL","60621","1313",,,,,,,,,,,,,,,
"1001-W-69th-St-Chicago-IL-60621","1001 W 69th St Chicago IL 60621",43999069,"1001 W 69th St","","Chicago","IL","60621","1125",,,,,,,,,,,,,,,
"1001-W-Garfield-Blvd-Chicago-IL-60621","1001 W Garfield Blvd Chicago IL 60621",63818801,"1001 W Garfield Blvd","","Chicago","IL","60621","1527",666582,360114,0.2984993,"LOW",513348,,,1519,2848,191,0.8745885,"LOW",0.0355,12842.84,2021
"1002-W-70th-St-Chicago-IL-60621","1002 W 70th St Chicago IL 60621",189316375,"1002 W 70th St","","Chicago","IL","60621","1104",,,,,,,,,,,,,,,
"1003-W-69th-St-Chicago-IL-60621","1003 W 69th St Chicago IL 60621",55979307,"1003 W 69th St","","Chicago","IL","60621","1125",,,,,,,,,,,,,,,
"1003-W-Marquette-Rd-Chicago-IL-60621","1003 W Marquette Rd Chicago IL 60621",57448431,"1003 W Marquette Rd","","Chicago","IL","60621","1215",62922,13560,0.6454068,"LOW",38241,3,1,1702,2040,1365,0.1982961,"LOW",0.5341,637.22,2021
"1004-W-57th-St-Chicago-IL-60621","1004 W 57th St Chicago IL 60621",28523496,"1004 W 57th St","","Chicago","IL","60621","1502",,,,,,,1,,,,,,,1944.47,2021
"1004-W-Marquette-Rd-Chicago-IL-60621","1004 W Marquette Rd Chicago IL 60621",4746924,"1004 W Marquette Rd","","Chicago","IL","60621","1216",99346,35224,0.4764955,"LOW",67285,1,1,1081,1372,790,0.2691952,"LOW",0.1928,301.23,2021
"1005-W-61st-St-Chicago-IL-60621","1005 W 61st St Chicago IL 60621",33946400,"1005 W 61st St","","Chicago","IL","60621","1405",,,,,,,,,,,,,,,
"1005-W-Marquette-Rd-Chicago-IL-60621","1005 W Marquette Rd Chicago IL 60621",4417032,"1005 W Marquette Rd","","Chicago","IL","60621","1215",64095,11941,0.6859119,"LOW",38018,3,1,1702,2040,1365,0.1982961,"LOW",0.5372,1306.92,2021
"1006-W-Marquette-Rd-Chicago-IL-60621","1006 W Marquette Rd Chicago IL 60621",55930753,"1006 W Marquette Rd","","Chicago","IL","60621","1216",,,,,,,,,,,,,,,
"1007-W-63rd-St-Chicago-IL-60621","1007 W 63rd St Chicago IL 60621",20474426,"1007 W 63rd St","","Chicago","IL","60621","1313",349134,222842,0.2207995,"LOW",285988,,,1865,3021,710,0.619571,"LOW",0.0783,1310.74,2021
"1007-W-Marquette-Rd-Chicago-IL-60621","1007 W Marquette Rd Chicago IL 60621",57174649,"1007 W Marquette Rd","","Chicago","IL","60621","1215",84375,21791,0.5894919,"LOW",53083,3,1.5,1710,1947,1473,0.1385965,"LOW",0.3866,,2021
"1008-W-57th-St-Chicago-IL-60621","1008 W 57th St Chicago IL 60621",27433872,"1008 W 57th St","","Chicago","IL","60621","1502",117525,51697,0.3890038,"LOW",84611,2,1,1346,1592,1101,0.1823923,"LOW",0.1909,,2021
"1008-W-61st-St-Chicago-IL-60621","1008 W 61st St Chicago IL 60621",52533917,"1008 W 61st St","","Chicago","IL","60621","1406",,,,,,,,,,,,,,,
"1008-W-69th-St-Chicago-IL-60621","1008 W 69th St Chicago IL 60621",47227176,"1008 W 69th St","","Chicago","IL","60621","1126",,,,,,,,,,,,,,,
"1008-W-Marquette-Rd-Chicago-IL-60621","1008 W Marquette Rd Chicago IL 60621",31512840,"1008 W Marquette Rd","","Chicago","IL","60621","1216",,,,,,,,,,,,,,,
"1009-W-59th-St-Chicago-IL-60621","1009 W 59th St Chicago IL 60621",22606994,"1009 W 59th St","","Chicago","IL","60621","1421",,,,,,,,,,,,,,,
"1009-W-62nd-St-Chicago-IL-60621","1009 W 62nd St Chicago IL 60621",53024328,"1009 W 62nd St","","Chicago","IL","60621","1309",,,,,,,,,,,,,,,
"1009-W-63rd-St-Chicago-IL-60621","1009 W 63rd St Chicago IL 60621",53451144,"1009 W 63rd St","","Chicago","IL","60621","1315",339204,228122,0.1957992,"LOW",283663,,,1809,2933,686,0.6210614,"LOW",0.0765,1470.39,2021
"1009-W-Garfield-Blvd-Chicago-IL-60621","1009 W Garfield Blvd Chicago IL 60621",12255651,"1009 W Garfield Blvd","","Chicago","IL","60621","1555",690333,375407,0.2954998,"LOW",532870,,,1903,2930,878,0.5391487,"LOW",0.0429,,2021
"1009-W-Marquette-Rd-Chicago-IL-60621","1009 W Marquette Rd Chicago IL 60621",47812985,"1009 W Marquette Rd","","Chicago","IL","60621","1215",,,,,,4,2,1469,1972,968,0.3417291,"LOW",0.7194,1306.92,2021
"101-W-70th-St-Chicago-IL-60621","101 W 70th St Chicago IL 60621",60510467,"101 W 70th St","","Chicago","IL","60621","3604",,,,,,,,,,,,,,,
"1010-W-59th-St-Chicago-IL-60621","1010 W 59th St Chicago IL 60621",34614838,"1010 W 59th St","","Chicago","IL","60621","1422",168385,82095,0.3444986,"LOW",125240,6,2,1323,1574,1074,0.1889645,"LOW",0.1268,804.18,2021
"1011-W-59th-St-Chicago-IL-60621","1011 W 59th St Chicago IL 60621",58439828,"1011 W 59th St","","Chicago","IL","60621","1421",390963,170645,0.3922985,"LOW",280804,,,,,,,,,268.21,2021
"1011-W-Garfield-Blvd-Chicago-IL-60621","1011 W Garfield Blvd Chicago IL 60621",44936837,"1011 W Garfield Blvd","","Chicago","IL","60621","1527",208859,99579,0.3543014,"LOW",154219,4,1.5,1605,1859,1352,0.1579439,"LOW",0.1249,235.2,2021
"1011-W-Marquette-Rd-Chicago-IL-60621","1011 W Marquette Rd Chicago IL 60621",49903914,"1011 W Marquette Rd","","Chicago","IL","60621","1215",75632,23214,0.5302997,"LOW",49423,3,1.5,1736,2000,1472,0.1520737,"LOW",0.4215,1306.92,2021
"1013-W-61st-St-Chicago-IL-60621","1013 W 61st St Chicago IL 60621",43659003,"1013 W 61st St","","Chicago","IL","60621","1405",61517,38389,0.2314976,"LOW",49953,3,2,1600,1912,1290,0.194375,"LOW",0.3844,703.79,2021
"1013-W-63rd-St-Chicago-IL-60621","1013 W 63rd St Chicago IL 60621",9818046,"1013 W 63rd St","","Chicago","IL","60621","1313",266160,125568,0.3589021,"LOW",195864,,,1871,2672,1070,0.4281133,"LOW",0.1146,1608.75,2021
"1013-W-69th-St-Chicago-IL-60621","1013 W 69th St Chicago IL 60621",3646218,"1013 W 69th St","","Chicago","IL","60621","1125",,,,,,,,,,,,,,,
"1014-W-61st-St-Chicago-IL-60621","1014 W 61st St Chicago IL 60621",23616413,"1014 W 61st St","","Chicago","IL","60621","1406",,,,,,,,,,,,,,,
"1014-W-72nd-St-Chicago-IL-60621","1014 W 72nd St Chicago IL 60621",7878425,"1014 W 72nd St","","Chicago","IL","60621","1010",300694,201300,0.1979984,"LOW",250997,10,4,2098,2624,1573,0.2504766,"LOW",0.1003,,
"1014-W-Marquette-Rd-Chicago-IL-60621","1014 W Marquette Rd Chicago IL 60621",27208704,"1014 W Marquette Rd","","Chicago","IL","60621","1216",228090,114464,0.3317024,"LOW",171277,,,1507,1810,1204,0.2010617,"LOW",0.1056,1508.16,2021
"1015-W-59th-St-Chicago-IL-60621","1015 W 59th St Chicago IL 60621",41633791,"1015 W 59th St","","Chicago","IL","60621","1421",379306,182088,0.3513005,"LOW",280697,,,,,,,,,201.78,2021
"1015-W-61st-St-Chicago-IL-60621","1015 W 61st St Chicago IL 60621",879984,"1015 W 61st St","","Chicago","IL","60621","1405",,,,,,,,,,,,,,,
"1015-W-63rd-St-Chicago-IL-60621","1015 W 63rd St Chicago IL 60621",53110602,"1015 W 63rd St","","Chicago","IL","60621","1313",278061,136677,0.3408996,"LOW",207369,,,1749,2134,1364,0.2201258,"LOW",0.1012,1206.53,2021
"1015-W-69th-St-Chicago-IL-60621","1015 W 69th St Chicago IL 60621",19093079,"1015 W 69th St","","Chicago","IL","60621","1125",,,,,,,,,,,,,,,
"1015-W-71st-St-Chicago-IL-60621","1015 W 71st St Chicago IL 60621",23173882,"1015 W 71st St","","Chicago","IL","60621","1007",81655,825,0.9799952,"LOW",41240,,,1675,2187,1164,0.3053731,"LOW",0.4874,,
"1015-W-Garfield-Blvd-Chicago-IL-60621","1015 W Garfield Blvd Chicago IL 60621",32511159,"1015 W Garfield Blvd","","Chicago","IL","60621","1527",510828,387964,0.136699,"LOW",449396,,,2336,2589,2083,0.1083048,"LOW",0.0624,4021.82,2021
"1015-W-Marquette-Rd-Chicago-IL-60621","1015 W Marquette Rd Chicago IL 60621",256685122,"1015 W Marquette Rd","","Chicago","IL","60621","1215",,,,,,,,,,,,,,,
"1016-W-57th-St-Chicago-IL-60621","1016 W 57th St Chicago IL 60621",34421884,"1016 W 57th St","","Chicago","IL","60621","1502",76190,17820,0.6208914,"LOW",47005,4,1,1118,1340,898,0.1976744,"LOW",0.2854,369.41,2021
"1016-W-59th-St-Chicago-IL-60621","1016 W 59th St Chicago IL 60621",56491268,"1016 W 59th St","","Chicago","IL","60621","1422",196301,99667,0.3265015,"LOW",147984,,,1592,2014,1172,0.2644472,"LOW",0.1291,,
"1016-W-64th-St-Chicago-IL-60621","1016 W 64th St Chicago IL 60621",4091189,"1016 W 64th St","","Chicago","IL","60621","1302",324243,178421,0.2900984,"LOW",251332,,,1613,2064,1164,0.2789833,"LOW",0.077,7239.66,2021
"1016-W-70th-St-Chicago-IL-60621","1016 W 70th St Chicago IL 60621",56028951,"1016 W 70th St","","Chicago","IL","60621","1104",373549,207941,0.2847994,"LOW",290745,,,2043,3233,853,0.5824767,"LOW",0.0843,3016.13,2021
"1016-W-Marquette-Rd-Chicago-IL-60621","1016 W Marquette Rd Chicago IL 60621",52640534,"1016 W Marquette Rd","","Chicago","IL","60621","1216",173846,73762,0.4042034,"LOW",123804,,,1452,1730,1175,0.1911157,"LOW",0.1407,134.68,2021
"1017-W-59th-St-Chicago-IL-60621","1017 W 59th St Chicago IL 60621",41297709,"1017 W 59th St","","Chicago","IL","60621","1421",,,,,,,,,,,,,,,
"1017-W-61st-St-Chicago-IL-60621","1017 W 61st St Chicago IL 60621",17991626,"1017 W 61st St","","Chicago","IL","60621","1405",,,,,,,,,,,,,,,
"1017-W-63rd-St-Chicago-IL-60621","1017 W 63rd St Chicago IL 60621",37731028,"1017 W 63rd St","","Chicago","IL","60621","1313",,,,,,,,,,,,,,,
"1017-W-Garfield-Blvd-Chicago-IL-60621","1017 W Garfield Blvd Chicago IL 60621",184695367,"1017 W Garfield Blvd","","Chicago","IL","60621","1527",,,,,,,,,,,,,,,
"1018-W-57th-St-Chicago-IL-60621","1018 W 57th St Chicago IL 60621",54607839,"1018 W 57th St","","Chicago","IL","60621","1502",,,,,,,,,,,,,,,
"1019-W-59th-St-Chicago-IL-60621","1019 W 59th St Chicago IL 60621",14924149,"1019 W 59th St","","Chicago","IL","60621","1421",,,,,,,,,,,,,,,
